Threshold 1,Threshold 2,Threshold 3,Threshold 4
-0.0221,0.7223,1.5164,1.8837
-0.0235,0.6712,0.9275,1.5781
-1.0451,-0.225,0.7211,0.9804
-1.7394,-0.5698,0.5248,1.8557
-1.253,-0.2905,0.7919,1.7501
-1.2013,0.0256,0.7115,1.3043
-0.7209,-0.2728,1.198,2.1454
-0.8613,0.1137,0.9274,1.0453
-1.4098,-0.3613,0.698,1.7167
-1.4496,0.0276,0.9741,2.2127
-0.2188,0.8106,1.1864,1.7665
-1.2541,-0.9225,-0.1,0.4916
-1.0939,0.4274,1.1586,1.8782
-0.031,0.7259,1.2135,1.1408
