Threshold 1,Threshold 2,Threshold 3,Threshold 4
-0.4282,0.8714,2.2106,3.1785
-0.5363,0.6693,1.4345,2.6327
-2.0231,-0.6295,0.839,1.6742
-1.6755,-0.1593,1.1738,1.8521
-0.6836,0.8887,1.7964,2.948
-2.9456,-1.6797,-0.3477,0.8534
-0.5112,0.7599,1.7492,2.2008
